x,y,z
-9.34548,-7.88933,29.7924
-9.19517,-7.64862,29.719
-9.03688,-7.42108,29.6147
-8.87273,-7.20908,29.4817
-8.70485,-7.01454,29.3225
-8.53535,-6.83897,29.1399
-8.36623,-6.68347,28.9368
-8.19941,-6.54874,28.7159
-8.03667,-6.43517,28.4801
-7.87963,-6.34285,28.2322
-7.72978,-6.27163,27.9749
-7.58841,-6.22115,27.7106
-7.45668,-6.19093,27.4419
-7.33556,-6.18034,27.1711
-7.22588,-6.1887,26.9002
-7.12833,-6.21525,26.6314
-7.04343,-6.25924,26.3666
-6.97161,-6.3199,26.1075
-6.91317,-6.39646,25.856
-6.86832,-6.48817,25.6135
-6.83717,-6.59428,25.3817
-6.81974,-6.71408,25.162
-6.81601,-6.84685,24.9559
-6.82587,-6.99188,24.7648
-6.84915,-7.14842,24.5901
-6.88564,-7.31575,24.433
-6.93507,-7.49306,24.2949
-6.99712,-7.6795,24.177
-7.07141,-7.87414,24.0805
-7.15751,-8.07598,24.0067
-7.25493,-8.28386,23.9566
-7.3631,-8.49654,23.9313
-7.48139,-8.71259,23.9318
-7.60909,-8.93045,23.9589
-7.74538,-9.14836,24.0133
-7.88936,-9.36438,24.0955
-8.04003,-9.57642,24.2058
-8.19625,-9.78217,24.3444
-8.35678,-9.97918,24.5109
-8.52025,-10.1649,24.7047
-8.68518,-10.3365,24.925
-8.84996,-10.4913,25.1704
-9.01287,-10.6266,25.4389
-9.17209,-10.7396,25.7283
-9.32572,-10.8277,26.0358
-9.47183,-10.8886,26.3581
-9.60843,-10.9204,26.6914
-9.73357,-10.9213,27.0316
-9.84534,-10.8902,27.3742
-9.94196,-10.8266,27.7144
-10.0217,-10.7306,28.0472
-10.0833,-10.6029,28.3677
-10.1253,-10.445,28.6709
-10.1469,-10.2589,28.9522
-10.1476,-10.0476,29.2073
-10.1269,-9.81415,29.4325
-10.0851,-9.56248,29.6244
-10.0226,-9.29668,29.7806
-9.94026,-9.02111,29.8992
-9.83923,-8.74018,29.9791
-9.72099,-8.45827,30.0202
-9.58731,-8.1796,30.0228
-9.44014,-7.90807,29.9879
-9.28163,-7.64724,29.9171
-9.11403,-7.40021,29.8126
-8.93964,-7.16963,29.6769
-8.76079,-6.95763,29.5127
-8.57976,-6.7659,29.323
-8.39874,-6.59562,29.1108
-8.21981,-6.44759,28.8793
-8.04491,-6.32219,28.6316
-7.87583,-6.2195,28.3705
-7.71415,-6.13933,28.0991
-7.5613,-6.08125,27.82
-7.41852,-6.0447,27.5358
-7.28686,-6.02898,27.2491
-7.16721,-6.03329,26.9619
-7.0603,-6.05683,26.6766
-6.96669,-6.09874,26.3951
-6.88683,-6.15819,26.1193
-6.82105,-6.23436,25.8509
-6.76955,-6.32643,25.5916
-6.73245,-6.43365,25.343
-6.70979,-6.55527,25.1067
-6.70152,-6.69057,24.8842
-6.70755,-6.83884,24.6768
-6.72772,-6.99937,24.486
-6.7618,-7.17143,24.3131
-6.80955,-7.35428,24.1596
-6.87064,-7.5471,24.0266
-6.94471,-7.74902,23.9156
-7.03135,-7.95907,23.8279
-7.13009,-8.17617,23.7645
-7.24038,-8.39911,23.7267
-7.36162,-8.62651,23.7157
-7.49311,-8.85683,23.7323
-7.63408,-9.08833,23.7775
-7.78365,-9.31907,23.852
-7.94082,-9.54693,23.9563
-8.10448,-9.76953,24.0906
-8.27339,-9.98433,24.2549
-8.44619,-10.1886,24.4489
-8.62135,-10.3794,24.6717
-8.79723,-10.5539,24.9223
-8.97206,-10.7089,25.1988
-9.14394,-10.8413,25.4991
-9.31086,-10.9484,25.8205
-9.47075,-11.0274,26.1596
-9.62147,-11.0757,26.5127
-9.76089,-11.0915,26.8754
-9.88689,-11.073,27.2429
-9.99746,-11.0195,27.6102
-10.0907,-10.9306,27.9719
-10.1649,-10.8068,28.3225
-10.2186,-10.6494,28.6566
-10.2507,-10.4604,28.9689
-10.2604,-10.2426,29.2546
-10.2471,-9.99939,29.5092
-10.2109,-9.73476,29.7289
-10.1521,-9.45317,29.9107
-10.0714,-9.15935,30.0524
-9.9701,-8.8582,30.1526
-9.8496,-8.55456,30.2106
-9.71174,-8.25316,30.2267
-9.55861,-7.9584,30.202
-9.39249,-7.6743,30.138
-9.2158,-7.40438,30.0371
-9.03105,-7.15165,29.9018
-8.84076,-6.91857,29.7351
-8.64743,-6.70704,29.5403
-8.45347,-6.51841,29.3207
-8.26116,-6.35359,29.0797
-8.07264,-6.21303,28.8207
-7.88986,-6.09681,28.5468
-7.71458,-6.00469,28.2612
-7.54837,-5.93621,27.967
-7.39257,-5.89071,27.6667
-7.24835,-5.86739,27.3632
-7.11667,-5.86538,27.0587
-6.99833,-5.88375,26.7556
-6.89394,-5.92156,26.456
-6.80399,-5.9779,26.1617
-6.72882,-6.05186,25.8747
-6.66866,-6.14259,25.5967
-6.62363,-6.24928,25.3294
-6.59378,-6.37114,25.0742
-6.57908,-6.50746,24.8328
-6.57942,-6.65751,24.6065
-6.59464,-6.82062,24.397
-6.62453,-6.99608,24.2054
-6.66885,-7.1832,24.0334
-6.7273,-7.38121,23.8822
-6.79952,-7.58932,23.7532
-6.88512,-7.80663,23.6479
-6.98366,-8.03213,23.5674
-7.09463,-8.26469,23.5132
-7.21747,-8.50302,23.4865
-7.35151,-8.74563,23.4884
-7.49603,-8.99085,23.52
-7.65018,-9.23679,23.5822
-7.81301,-9.4813,23.6758
-7.98346,-9.72204,23.8012
-8.1603,-9.95638,23.9587
-8.3422,-10.1815,24.1482
-8.52764,-10.3944,24.3693
-8.71496,-10.5917,24.6209
-8.90236,-10.7704,24.9017
-9.08789,-10.9269,25.2097
-9.26944,-11.0579,25.5423
-9.44483,-11.1603,25.8963
-9.61177,-11.2311,26.2679
-9.76793,-11.2679,26.6528
-9.91098,-11.2684,27.046
-10.0387,-11.2312,27.4421
-10.1488,-11.1556,27.8354
-10.2394,-11.0417,28.2199
-10.3087,-10.8902,28.5895
-10.3553,-10.7031,28.9384
-10.378,-10.4828,29.261
-10.3761,-10.2329,29.552
-10.3493,-9.95757,29.8071
-10.2979,-9.66141,30.0223
-10.2223,-9.3496,30.1949
-10.1237,-9.02749,30.3229
-10.0036,-8.70052,30.4053
